[rosmaster.main][INFO] 2021-11-30 11:33:23,227: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-11-30 11:33:23,227: Starting ROS Master Node
[rosmaster.master][INFO] 2021-11-30 11:33:32,161: -PUB [/rosout] /rviz_1638272005981675460 http://demulab-MS-7B51:45265/
[rosmaster.master][INFO] 2021-11-30 11:33:32,162: -PUB [/initialpose] /rviz_1638272005981675460 http://demulab-MS-7B51:45265/
[rosmaster.master][INFO] 2021-11-30 11:33:32,162: -PUB [/move_base_simple/goal] /rviz_1638272005981675460 http://demulab-MS-7B51:45265/
[rosmaster.master][INFO] 2021-11-30 11:33:32,162: -PUB [/clicked_point] /rviz_1638272005981675460 http://demulab-MS-7B51:45265/
[rosmaster.master][INFO] 2021-11-30 11:33:32,163: -SUB [/tf] /rviz_1638272005981675460 http://demulab-MS-7B51:45265/
[rosmaster.master][INFO] 2021-11-30 11:33:32,163: -SUB [/tf_static] /rviz_1638272005981675460 http://demulab-MS-7B51:45265/
[rosmaster.master][INFO] 2021-11-30 11:33:32,163: -SERVICE [/rviz_1638272005981675460/get_loggers] /rviz_1638272005981675460 rosrpc://demulab-MS-7B51:48953
[rosmaster.master][INFO] 2021-11-30 11:33:32,163: -SERVICE [/rviz_1638272005981675460/set_logger_level] /rviz_1638272005981675460 rosrpc://demulab-MS-7B51:48953
[rosmaster.master][INFO] 2021-11-30 11:33:32,164: -SERVICE [/rviz_1638272005981675460/reload_shaders] /rviz_1638272005981675460 rosrpc://demulab-MS-7B51:48953
[rosmaster.master][INFO] 2021-11-30 11:33:32,164: -SERVICE [/rviz_1638272005981675460/load_config] /rviz_1638272005981675460 rosrpc://demulab-MS-7B51:48953
[rosmaster.master][INFO] 2021-11-30 11:33:32,164: -SERVICE [/rviz_1638272005981675460/save_config] /rviz_1638272005981675460 rosrpc://demulab-MS-7B51:48953
[rosmaster.master][INFO] 2021-11-30 11:33:32,164: -CACHEDPARAM [/rosout_disable_topics_generation] by /rviz_1638272005981675460
[rosmaster.master][INFO] 2021-11-30 11:33:32,245: publisherUpdate[/rosout] -> http://demulab-MS-7B51:45107/ []
[rosmaster.master][INFO] 2021-11-30 11:33:32,262: publisherUpdate[/rosout] -> http://demulab-MS-7B51:45107/ []: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2021-11-30 11:33:32,963: -PUB [/rosout_agg] /rosout http://demulab-MS-7B51:45107/
[rosmaster.master][INFO] 2021-11-30 11:33:32,963: -SUB [/rosout] /rosout http://demulab-MS-7B51:45107/
[rosmaster.master][INFO] 2021-11-30 11:33:32,964: -SERVICE [/rosout/get_loggers] /rosout rosrpc://demulab-MS-7B51:35147
[rosmaster.master][INFO] 2021-11-30 11:33:32,964: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://demulab-MS-7B51:35147
[rosmaster.master][INFO] 2021-11-30 11:33:32,964: -CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.main][INFO] 2021-11-30 11:33:33,030: keyboard interrupt, will exit
[rosmaster.main][INFO] 2021-11-30 11:33:33,030: stopping master...
[rospy.core][INFO] 2021-11-30 11:33:33,030: signal_shutdown [atexit]
